Name,Address,City,State,ZipCode,Grade
Kern Medical Center,1700 Mount Vernon Avenue,Bakersfield,CA,93306-4018,D
Northridge Hospital Medical Center-Roscoe Boulevard Campus,18300 Roscoe Boulevard,Northridge,CA,91328-4167,C
Saint John's Health Center,2121 Santa Monica Boulevard,Santa Monica,CA,90404,C
Providence Tarzana Medical Center,18321 Clark Street,Tarzana,CA,91356-3521,C
Tulare Regional Medical Center,869 Cherry Street,Tulare,CA,93274-2207,F
UCLA Medical Center of Santa Monica,1250 16th Street,Santa Monica,CA,90404,A
Bakersfield Memorial Hospital,420 34th Street,Bakersfield,CA,93301-2237,D
Adventist Health - San Joaquin Community Hospital,2615 Chester Avenue,Bakersfield,CA,93301-2006,C
Mercy Hospital - Downtown,2215 Truxtun Avenue,Bakersfield,CA,93301,C
Bakersfield Heart Hospital,3001 Sillect Avenue,Bakersfield,CA,93308-6337,C
Kaiser Permanente Woodland Hills Medical Center,5601 De Soto Avenue,Woodland Hills,CA,91365-6701,A
Clovis Community Medical Center,2755 Herndon Avenue,Clovis,CA,93611-6800,A
West Hills Hospital and Medical Center,7300 Medical Center Drive,West Hills,CA,91307-1901,C
Adventist Medical Center Selma,1141 Rose Avenue,Selma,CA,93662,B
Mercy Hospital - Southwest,400 Old River Road,Bakersfield,CA,93311,C
Simi Valley Hospital and Health Care Services,2975 N. Sycamore Drive,Simi Valley,CA,93065-1201,C
Saint Agnes Medical Center,1303 E. Herndon Avenue,Fresno,CA,93720-3309,C
Kaiser Foundation Hospital - Fresno,7300 N. Fresno Ave.,Fresno,CA,93720-2941,A
Community Regional Medical Center,2823 Fresno Street,Fresno,CA,93721-1324,C
Sonora Regional Medical Center,1000 Greenley Road,Sonora,CA,95370-4819,C
Adventist Medical Center Hanford,115 Mall Drive,Hanford,CA,93230-3513,B
Marshall Medical Center,1100 Marshall Way,Placerville,CA,95667-6599,B
Los Robles Hospital and Medical Center,215 West Janss Road,Thousand Oaks,CA,91360-1847,A
Sierra Nevada Memorial Hospital,155 Glasson Way,Grass Valley,CA,95945-5723,C
Madera Community Hospital,1250 E. Almond Avenue,Madera,CA,93637-5696,B
St. John's Pleasant Valley Hospital,2309 Antonio Avenue,Camarillo,CA,93010-1414,A
Sutter Amador Hospital,200 Mission Boulevard,Jackson,CA,95642-2132,C
Sutter Auburn Faith Hospital,11815 Education Street,Auburn,CA,95602-2410,C
Adventist Health - Feather River Hospital,5974 Pentz Road,Paradise,CA,95969-5509,C
St. John's Regional Medical Center of Oxnard,1600 N. Rose Avenue,Oxnard,CA,93030-3723,B
Mercy Medical Center,333 Mercy Avenue,Merced,CA,95340-8319,B
Oroville Hospital,2767 Olive Highway,Oroville,CA,95966-6118,C
Ventura County Medical Center,3291 Loma Vista Road,Ventura,CA,93003-3099,D
Mercy Hospital of Folsom,1650 Creekside Drive,Folsom,CA,95630-3405,B
Community Memorial Hospital of San Buenaventura,147 N. Brent Street,Ventura,CA,93003-2854,C
Sutter Roseville Medical Center,1 Medical Plaza,Roseville,CA,95661-3037,B
Kaiser Foundation Hospital - Roseville,1600 Eureka Road,Roseville,CA,95661-3027,A
Enloe Medical Center,1531 Esplanade,Chico,CA,95926-3386,A
Mercy San Juan Medical Center,6501 Coyle Avenue,Carmichael,CA,95608-0306,A
Rideout Memorial Hospital,726 4th Street,Marysville,CA,95901-5600,F
Emanuel Medical Center,825 Delbon Avenue,Turlock,CA,95382-2016,B
Shasta Regional Medical Center,1100 Butte Street,Redding,CA,96001-0853,C
Mercy Medical Center of Redding,2175 Rosaline Avenue,Redding,CA,96001,A
Kaiser Foundation Hospital - Sacramento,2025 Morse Avenue,Sacramento,CA,95825-2115,B
Patient's Hospital of Redding,2900 Eureka Way,Redding,CA,96001,A
Memorial Medical Center of Modesto,1700 Coffee Road,Modesto,CA,95355-2869,C
St. Elizabeth Community Hospital,2550 Sister Mary Columba Drive,Red Bluff,CA,96080-4397,A
Doctors Medical Center of Modesto,1441 Florida Avenue,Modesto,CA,95350-4418,A
Mercy General Hospital,4001 J Street,Sacramento,CA,95819-3600,A
Kaiser Foundation Hospital - Modesto,4601 Dale Road,Modesto,CA,95356-9718,C
University of California Davis Medical Center,2315 Stockton Boulevard,Sacramento,CA,95817-2282,B
Methodist Hospital of Sacramento,7500 Hospital Drive,Sacramento,CA,95823-5477,A
Sutter Medical Center Sacramento,2825 Capitol Ave,Sacramento,CA,95816-5616,B
Kaiser Foundation Hospital - South Sacramento,6600 Bruceville Road,Sacramento,CA,95823-4671,B
Lodi Memorial Hospital,975 S. Fairmont Avenue,Lodi,CA,95240-5179,C
Santa Barbara Cottage Hospital,400 W. Pueblo Street,Santa Barbara,CA,93105-4311,B
Memorial Hospital Los Banos,520 I Street,Los Banos,CA,93635-4211,A
Doctors Hospital of Manteca,1205 E. North Street,Manteca,CA,95336-4900,A
St. Joseph's Medical Center of Stockton,1800 N. California Street,Stockton,CA,95204,C
San Joaquin General Hospital,500 W. Hospital Road,French Camp,CA,95231,D
Kaiser Foundation Hospital - Manteca,1777 W. Yosemite Avenue,Manteca,CA,95337-5187,B
Woodland Memorial Hospital,1325 Cottonwood Street,Woodland,CA,95695-5199,A
Sutter Davis Hospital,2000 Sutter Place,Davis,CA,95616-6201,A
Sutter Tracy Community Hospital,1420 N. Tracy Boulevard,Tracy,CA,95376-3497,B
Kaiser Foundation Hospital - Vacaville,1 Quality Drive,Vacaville,CA,95688-9494,A
