,Address,City,Name,Rating,State,ZipCode
94,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
95,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
96,100 N Hill Dr,Brisbane,Focus Surgical,3.0,CA,94005
97,306 Spruce Avenue,South San Francisco,San Mateo Medical Center,2.0,CA,94080
98,2401 Keith St,San Francisco,Southeast Health Center,3.5,CA,94124
99,3 S Linden Ave,South San Francisco,Pacific Occupational Health Clinic,2.0,CA,94080
100,468 Littlefield Ave,South San Francisco,Berkeley HeartLab,2.5,CA,94080
101,1200 El Camino Real,South San Francisco,Kaiser Permanente,1.5,CA,94080
102,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
103,36860 Industrial Way,Sandy,Legacy Medical Group-Firwood,2.0,OR,97055
104,2850 SE Powell Valley Rd,Gresham,Legacy-GoHealth Urgent Care - Gresham,2.5,OR,97045
105,440 NW Division St,Gresham,Providence Medical Group,4.0,OR,97030
106,2075 NE Division St,Gresham,Rose City Urgent Care and Family Practice,1.5,OR,97030
107,831 NW Council Dr,Gresham,Columbia Pain and Spine Institute,3.0,OR,97030
108,24076 SE Stark,Gresham,Center For Men's & Women's Urology,1.0,OR,97030
109,10180 SE Sunnyside Rd,Clackamas,Kaiser Permanente Brookside Center,2.5,OR,97015
110,1111 NE 99th Ave,Portland,The Oregon Clinic,3.5,OR,97220
111,1900 SE McLoughlin Blvd,Oregon City,Legacy-GoHealth Urgent Care - Oregon City,4.0,OR,97045
112,9290 SE Sunnybrook Blvd,Clackamas,Providence Clackamas Medical Plaza,4.5,OR,97015
113,124 NE 181st Ave,Portland,The Wallace Medical Concern,1.5,OR,97230
114,13518 SE 97th Ave,Clackamas,Northwest Sleep Health,4.0,OR,97015
115,1500 Division St,Oregon City,Providence Williamette Falls Medical Center,2.5,OR,97045
116,2020 SE 182nd Ave,Gresham,Rockwood Community Health Center,1.0,OR,97233
117,12100 SE Stevens Ct,Clackamas,Kaiser Permanente Clackamas Eye Care,3.5,OR,97086
118,9800 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Scott Medical Office,2.5,OR,97015
119,4160 NE Sandy Blvd,Portland,Portland Urgent Care,4.0,OR,97212
120,902 SE 164th Ave,Vancouver,ZOOM+Care - Mill Plain,4.5,WA,98683
121,1508 Division St,Oregon City,Northwest Primary Care - Oregon City,5.0,OR,97045
122,10100 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Talbert Medical Office,2.0,OR,97015
123,12710 SE Division St,Portland,Multnomah County Health Department,4.0,OR,97236
124,4805 NE Glisan St,Portland,Providence Portland Medical Center,4.0,OR,97213
125,8935 SE Powell Blvd,Portland,Rosewood Family Health Center,2.5,OR,97266
126,3325 SE Hawthorne Blvd,Portland,ZOOM+Care - Hawthorne District,4.0,OR,97214
127,1700 NE 102nd Ave,Portland,Kaiser Permanente Gateway Medical Office,2.5,OR,97220
128,10201 SE Main Street,Portland,Adventist Health Medical Group Portland Lung Clinic,4.0,OR,97216
129,3231 SE 50th,Portland,Planned Parenthood - SE Portland Center,3.0,OR,97206
130,7033 NE Sandy Blvd,Portland,AFC Urgent Care,3.0,OR,97213
131,5847 NE 122nd Ave,Portland,The Portland Clinic - Columbia,3.0,OR,97220
132,5050 NE Hoyt St,Portland,The Oregon Clinic,3.0,OR,97213
133,1111 NE 99th Ave,Portland,Providence Heart Clinic at The Oregon,5.0,OR,97220
134,819 NE 47th Avenue,Portland,Providence Cancer Center,4.0,OR,97213
135,305 SE Chkalov Dr,Vancouver,Legacy-GoHealth Urgent Care - Cascade Park,4.5,WA,98683
136,12029 NE Glenn Widing Dr,Portland,Apria Healthcare,1.5,OR,97220
137,203 SE Park Plaza Dr Suite 140,Vancouver,Kaiser Permanente Mill Plain One Medical Office,5.0,WA,98684
138,7410 Delaware Ln,Vancouver,Sea-Mar Community Health Center,2.0,WA,98664
139,5050 NE Hoyt St,Portland,Providence Medical Group-Cascade,1.5,OR,97213
140,2722 NE 33rd Ave,Portland,Northwest Surrogacy Center,1.0,OR,97212
141,11803 SE Mill Plain Blvd,Vancouver,CSL Plasma,1.0,WA,98684
142,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
143,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
144,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
145,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
146,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
147,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
148,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
149,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
150,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
151,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
152,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
153,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
154,36860 Industrial Way,Sandy,Legacy Medical Group-Firwood,2.0,OR,97055
155,2850 SE Powell Valley Rd,Gresham,Legacy-GoHealth Urgent Care - Gresham,2.5,OR,97045
156,440 NW Division St,Gresham,Providence Medical Group,4.0,OR,97030
157,2075 NE Division St,Gresham,Rose City Urgent Care and Family Practice,1.5,OR,97030
158,831 NW Council Dr,Gresham,Columbia Pain and Spine Institute,3.0,OR,97030
159,24076 SE Stark,Gresham,Center For Men's & Women's Urology,1.0,OR,97030
160,10180 SE Sunnyside Rd,Clackamas,Kaiser Permanente Brookside Center,2.5,OR,97015
161,1111 NE 99th Ave,Portland,The Oregon Clinic,3.5,OR,97220
162,1900 SE McLoughlin Blvd,Oregon City,Legacy-GoHealth Urgent Care - Oregon City,4.0,OR,97045
163,9290 SE Sunnybrook Blvd,Clackamas,Providence Clackamas Medical Plaza,4.5,OR,97015
164,124 NE 181st Ave,Portland,The Wallace Medical Concern,1.5,OR,97230
165,13518 SE 97th Ave,Clackamas,Northwest Sleep Health,4.0,OR,97015
166,1500 Division St,Oregon City,Providence Williamette Falls Medical Center,2.5,OR,97045
167,2020 SE 182nd Ave,Gresham,Rockwood Community Health Center,1.0,OR,97233
168,12100 SE Stevens Ct,Clackamas,Kaiser Permanente Clackamas Eye Care,3.5,OR,97086
169,9800 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Scott Medical Office,2.5,OR,97015
170,4160 NE Sandy Blvd,Portland,Portland Urgent Care,4.0,OR,97212
171,902 SE 164th Ave,Vancouver,ZOOM+Care - Mill Plain,4.5,WA,98683
172,1508 Division St,Oregon City,Northwest Primary Care - Oregon City,5.0,OR,97045
173,10100 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Talbert Medical Office,2.0,OR,97015
174,12710 SE Division St,Portland,Multnomah County Health Department,4.0,OR,97236
175,4805 NE Glisan St,Portland,Providence Portland Medical Center,4.0,OR,97213
176,8935 SE Powell Blvd,Portland,Rosewood Family Health Center,2.5,OR,97266
177,3325 SE Hawthorne Blvd,Portland,ZOOM+Care - Hawthorne District,4.0,OR,97214
178,1700 NE 102nd Ave,Portland,Kaiser Permanente Gateway Medical Office,2.5,OR,97220
179,10201 SE Main Street,Portland,Adventist Health Medical Group Portland Lung Clinic,4.0,OR,97216
180,3231 SE 50th,Portland,Planned Parenthood - SE Portland Center,3.0,OR,97206
181,7033 NE Sandy Blvd,Portland,AFC Urgent Care,3.0,OR,97213
182,5847 NE 122nd Ave,Portland,The Portland Clinic - Columbia,3.0,OR,97220
183,5050 NE Hoyt St,Portland,The Oregon Clinic,3.0,OR,97213
184,1111 NE 99th Ave,Portland,Providence Heart Clinic at The Oregon,5.0,OR,97220
185,819 NE 47th Avenue,Portland,Providence Cancer Center,4.0,OR,97213
186,305 SE Chkalov Dr,Vancouver,Legacy-GoHealth Urgent Care - Cascade Park,4.5,WA,98683
187,12029 NE Glenn Widing Dr,Portland,Apria Healthcare,1.5,OR,97220
188,203 SE Park Plaza Dr Suite 140,Vancouver,Kaiser Permanente Mill Plain One Medical Office,5.0,WA,98684
189,7410 Delaware Ln,Vancouver,Sea-Mar Community Health Center,2.0,WA,98664
190,5050 NE Hoyt St,Portland,Providence Medical Group-Cascade,1.5,OR,97213
191,2722 NE 33rd Ave,Portland,Northwest Surrogacy Center,1.0,OR,97212
192,11803 SE Mill Plain Blvd,Vancouver,CSL Plasma,1.0,WA,98684
193,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
194,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
195,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
196,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
197,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
198,700 S Claremont St,San Mateo,Align Clinic,5.0,CA,94402
199,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
200,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
201,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
202,SFO,San Francisco,San Francisco International Airport - SFO Clinic,3.5,CA,94128
203,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
204,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
205,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
206,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,2.5,CA,94401
207,29 Baywood Ave,San Mateo,Planned Parenthood - San Mateo Health Center,3.5,CA,94402
208,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
209,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
210,50 S San Mateo Dr,San Mateo,Mills Medical Arts,5.0,CA,94401
211,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
212,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
213,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
214,SFO International Terminal,San Francisco,St Mary's Medical Center,4.5,CA,94128
215,477 9th Ave,San Mateo,San Mateo WIC Office,5.0,CA,94402
216,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
217,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
218,100 S San Mateo Dr,San Mateo,Outpatient Surgery Center - Mills Peninsula Health Services,4.5,CA,94401
219,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
220,50 S San Mateo Dr,San Mateo,Mid Peninsula Endoscopy Center,4.5,CA,94401
221,100 S San Mateo Dr,San Mateo,Mills-Peninsula Extended Care,1.5,CA,94401
222,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
223,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
224,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
225,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
226,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
227,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
228,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
229,700 S Claremont St,San Mateo,Align Clinic,5.0,CA,94402
230,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
231,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
232,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
233,SFO,San Francisco,San Francisco International Airport - SFO Clinic,3.5,CA,94128
234,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
235,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
236,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
237,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,2.5,CA,94401
238,29 Baywood Ave,San Mateo,Planned Parenthood - San Mateo Health Center,3.5,CA,94402
239,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
240,50 S San Mateo Dr,San Mateo,Mills Medical Arts,5.0,CA,94401
241,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
242,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
243,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
244,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
245,SFO International Terminal,San Francisco,St Mary's Medical Center,4.5,CA,94128
246,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
247,477 9th Ave,San Mateo,San Mateo WIC Office,5.0,CA,94402
248,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
249,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
250,100 S San Mateo Dr,San Mateo,Outpatient Surgery Center - Mills Peninsula Health Services,4.5,CA,94401
251,50 S San Mateo Dr,San Mateo,Mid Peninsula Endoscopy Center,4.5,CA,94401
252,100 S San Mateo Dr,San Mateo,Mills-Peninsula Extended Care,1.5,CA,94401
253,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
254,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
255,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
256,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
257,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
258,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
259,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
260,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
261,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
262,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
263,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
264,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
265,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
266,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
267,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
268,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
269,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
270,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
271,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
272,2308 Taraval St,San Francisco,North East Medical Services,3.0,CA,94116
273,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
274,2568 Noriega St,San Francisco,Western & Eastern Medical Practice Center,5.0,CA,94122
275,1800 31st Ave,San Francisco,Sunset Health Services,2.0,CA,94122
276,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
277,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
278,2645 Ocean Ave,San Francisco,Westcliff Medical Laboratories,3.0,CA,94132
279,2622 Ocean Ave,San Francisco,LabCorp,2.0,CA,94132
280,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
281,1351 24th Ave,San Francisco,Ocean Park Health Center,2.5,CA,94122
282,505 Parnassus Ave,San Francisco,UCSF Birthing Center,4.0,CA,94143
283,3700 California St,San Francisco,California Pacific Medical Center,4.0,CA,94118
284,2395 Lombard St,San Francisco,Golden Gate Urgent Care,4.0,CA,94123
285,1850 Sullivan Ave,Daly City,Seton Medical Office Center,2.5,CA,94015
286,450 Stanyan St,San Francisco,St. Mary's Medical Center,3.0,CA,94117
287,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
288,1930 Market St,San Francisco,UCSF Alliance Health Project,4.0,CA,94102
289,400 Parnassus Ave,San Francisco,UCSF Hematology - Adult Blood And Marrow Transplant Practice,5.0,CA,94143
290,400 Parnassus Ave,San Francisco,UCSF Internal Medicine Clinic,2.5,CA,94122
291,Davies Campus,San Francisco,CPMC Occupational and Hand Therapy,4.0,CA,94114
292,1 Shrader St,San Francisco,Mercy Doctors Medical Group,3.0,CA,94117
293,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
294,400 Parnassus Ave,San Francisco,UCSF Epilepsy Center,3.5,CA,94143
295,3468 California St,San Francisco,San Francisco Endoscopy Center,4.5,CA,94118
296,3000 California St,San Francisco,Pacific Heights Surgery Center,4.0,CA,94115
297,450 Stanyan St,San Francisco,PROS Center,4.5,CA,94117
298,350 Parnassus Ave,San Francisco,Unilab Quest Diagnostics,4.0,CA,94117
299,2233 Post St,San Francisco,LabCorp,3.0,CA,94115
300,2356 Sutter St,San Francisco,UCSF Center For Reproductive Health,3.5,CA,94115
301,3698 California St,San Francisco,Breast Health Center at CPMC,4.0,CA,94118
302,3838 California St,San Francisco,San Francisco Surgical Medical Group,3.5,CA,94118
303,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
304,2001 Union St,San Francisco,San Francisco Sleep Diagnostics,4.0,CA,94123
305,2241 Geary Blvd,San Francisco,Kaiser Permanente Health Education and Nutrition Clinic,3.5,CA,94115
306,1301 Pierce Street,San Francisco,Maxine Hall Health Center,2.5,CA,94115
307,4141 Geary Boulevard,San Francisco,Kaiser Permanente Chronic Pain Clinic,3.0,CA,94118
308,2340 Clay St,San Francisco,Pacific Heights Medical Group,2.5,CA,94115
309,2330 Post St,San Francisco,Headache Center at the UCSF Medical Center,2.5,CA,94115
310,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
311,2121 Pine St,San Francisco,Victorian Healthcare Center,5.0,CA,94115
312,2425 Geary Blvd,San Francisco,Kaiser Permanente Nuclear Medicine,4.0,CA,94115
313,2330 Post St,San Francisco,Laboratory Medicine Mt. Zion,3.0,CA,94115
314,45 Castro St,San Francisco,Plastic Surgery Institute of San Francisco,2.5,CA,94114
315,Cherry St & Sacramento St,San Francisco,California Pacific Medical Center Amphitheatre,3.0,CA,94118
316,2255 Post St,San Francisco,UCSF Medical Center at Mount Zion,4.0,CA,94115
317,1201 Fillmore St,San Francisco,Kaiser Permanente Services,4.0,CA,94115
318,2330 Buchanan St,San Francisco,California Pacific Medical Center,5.0,CA,94123
319,2340 Clay St,San Francisco,California Pacific Medical Center,1.5,CA,94115
320,901 Campus Dr,Daly City,Campus Surgery Center,4.5,CA,94015
321,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
322,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
323,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
324,455 Hickey Blvd,Daly City,Health Diagnostics,2.5,CA,94015
325,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
326,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
327,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
328,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
329,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
330,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
