ProviderID,HospitalName,Address,City,State,ZipCode,HospitalOverallRating,MortalityNationalComparison,SafetyOfCareNationalComparison,ReadmissionNationalComparison,PatientExperienceNationalComparison,EffectivenessOfCareNationalComparison,TimelinessOfCareNationalComparison,EfficientUseOfMedicalImagingNationalComparison,AverageEffectiveCareScore,AverageReadmissionScore,MortalityComp,SafetyOfCareComp,ReadmissionComp,PatientExperienceComp,EffectivenessOfCareComp,TimelinessOfCareComp,EfficientUseOfMedicalImagingComp,SafetyGrade,YelpRating,SafetyGradeNumeric
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,3,Below the National average,Above the National average,Above the National average,Below the National average,Above the National average,Below the National average,Above the National average,91.09523809523809,14.057142857142859,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,A,3.5,5
50301,UKIAH VALLEY MEDICAL CENTER,275 HOSPITAL DRIVE,UKIAH,CA,95482,3,Same as the National average,Below the National average,Above the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,78.45,14.509090909090904,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,A,2.1666666666666665,5
50335,SONORA REGIONAL MEDICAL CENTER,1000 GREENLEY ROAD,SONORA,CA,95370,2,Below the National average,Below the National average,Above the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,95.36363636363636,14.625,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,C,1.5,3
50367,NORTHBAY MEDICAL CENTER,1200 B  GALE WILSON BLVD,FAIRFIELD,CA,94533,2,Same as the National average,Below the National average,Same as the National average,Same as the National average,Above the National average,Below the National average,Above the National average,91.72,13.821428571428573,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,C,3.0,3
50444,MERCY MEDICAL CENTER,333 MERCY AVENUE,MERCED,CA,95340,2,Same as the National average,Same as the National average,Below the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,90.1904761904762,15.025,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,B,2.5,4
50457,ST MARY'S MEDICAL CENTER,450 STANYAN ST,SAN FRANCISCO,CA,94117,4,Same as the National average,Above the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,95.84210526315788,14.341666666666665,0.0,1.0,1.0,0.0,1.0,0.0,0.0,A,3.0,5
50492,CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVE,CLOVIS,CA,93611,2,Below the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,127.25,15.233333333333333,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,A,2.5,5
50516,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVE,CARMICHAEL,CA,95608,2,Same as the National average,Below the National average,Below the National average,Below the National average,Above the National average,Below the National average,Above the National average,89.33333333333331,14.435714285714285,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,A,2.5,5
50557,MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA,95355,3,Below the National average,Below the National average,Above the National average,Same as the National average,Above the National average,Below the National average,Above the National average,100.66666666666669,14.042857142857141,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,C,2.75,3
50674,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,SACRAMENTO,CA,95823,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,Not Available,Not Available,97.88235294117645,15.385714285714286,0.0,0.0,0.0,-1.0,1.0,,,B,3.5,4
50689,SAN RAMON REGIONAL MEDICAL CTR,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,3,Same as the National average,Same as the National average,Above the National average,Below the National average,Above the National average,Above the National average,Same as the National average,88.0,13.45,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,B,3.0,4
290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,1,Below the National average,Below the National average,Same as the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,88.36,14.607142857142858,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,C,3.0,3
290019,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,98.29411764705885,13.571428571428573,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,C,2.5,3
290032,NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,SPARKS,NV,89434,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,90.63157894736842,14.983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3.0,4
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,4,Same as the National average,Same as the National average,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,88.94736842105263,13.812499999999998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,A,3.0,5
380040,ST CHARLES MEDICAL CENTER - REDMOND,1253 N CANAL BLVD,REDMOND,OR,97756,4,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,Not Available,81.52380952380952,13.929999999999998,0.0,0.0,0.0,1.0,0.0,0.0,,B,5.0,4
380061,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,OR,97213,3,Same as the National average,Below the National average,Above the National average,Above the National average,Below the National average,Same as the National average,Same as the National average,84.96153846153847,12.9,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,A,4.0,5
380091,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,3,Not Available,Same as the National average,Not Available,Above the National average,Above the National average,Not Available,Not Available,97.68421052631581,14.8,,0.0,,1.0,1.0,,,A,2.5,5
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,92.48387096774192,13.95,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,C,,3
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,3,Below the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,Above the National average,Below the National average,89.73529411764706,15.2,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,B,,4
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,2,Same as the National average,Below the National average,Same as the National average,Below the National average,Below the National average,Same as the National average,Same as the National average,66.71428571428571,13.557142857142859,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,C,,3
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,3,Below the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,82.0,17.027272727272727,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,A,,5
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,3,Same as the National average,Above the National average,Above the National average,Below the National average,Above the National average,Below the National average,Below the National average,93.47826086956522,13.885714285714286,0.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,B,,4
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,2,Below the National average,Below the National average,Below the National average,Below the National average,Same as the National average,Above the National average,Below the National average,78.375,15.354545454545455,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,C,,3
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,3,Below the National average,Above the National average,Same as the National average,Below the National average,Above the National average,Below the National average,Above the National average,97.0,14.464285714285715,-1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,D,,2
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,3,Same as the National average,Above the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,92.6,13.557142857142859,0.0,1.0,1.0,0.0,1.0,0.0,0.0,C,,3
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,3,Same as the National average,Below the National average,Below the National average,Below the National average,Above the National average,Above the National average,Same as the National average,73.22727272727273,14.02,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,B,,4
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,3,Below the National average,Above the National average,Above the National average,Above the National average,Above the National average,Below the National average,Below the National average,95.28125,13.7,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,C,,3
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,2,Same as the National average,Below the National average,Below the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,95.15,14.292857142857144,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,C,,3
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,4,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,81.0,15.588888888888887,0.0,0.0,0.0,1.0,0.0,1.0,0.0,A,,5
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Below the National average,Same as the National average,Same as the National average,95.96428571428572,14.071428571428573,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,C,,3
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,3,Below the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,83.21052631578948,15.06,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,B,,4
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,4,Below the National average,Above the National average,Above the National average,Above the National average,Above the National average,Above the National average,Same as the National average,83.73684210526315,13.650000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,B,,4
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,3,Same as the National average,Below the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,91.08695652173913,14.071428571428571,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,B,,4
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,86.29411764705883,14.41,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,B,,4
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,2,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,85.13636363636364,14.55,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,A,,5
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,75.44444444444444,15.355555555555556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A,,5
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,2,Same as the National average,Below the National average,Above the National average,Below the National average,Below the National average,Same as the National average,Same as the National average,85.02702702702703,13.714285714285712,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,C,,3
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,2,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Above the National average,Below the National average,83.45833333333333,15.25,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,C,,3
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,3,Same as the National average,Below the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Below the National average,91.76470588235294,14.216666666666667,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,A,,5
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,3,Same as the National average,Same as the National average,Below the National average,Above the National average,Above the National average,Below the National average,Below the National average,123.8695652173913,16.45,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,B,,4
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,2,Below the National average,Below the National average,Same as the National average,Below the National average,Above the National average,Same as the National average,Below the National average,92.94117647058823,14.628571428571426,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,D,,2
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,2,Below the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,88.7391304347826,14.707142857142859,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,C,,3
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,2,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,Below the National average,81.26666666666667,16.080000000000005,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,C,,3
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,4,Same as the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Below the National average,88.79166666666669,13.114285714285714,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,C,,3
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,2,Below the National average,Below the National average,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,82.63157894736842,14.557142857142859,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,B,,4
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,4,Same as the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,99.8095238095238,15.079999999999998,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,A,,5
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Below the National average,Same as the National average,Same as the National average,81.05,15.727272727272725,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,C,,3
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,82.27777777777777,14.79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A,,5
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,2,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,Not Available,88.04761904761904,16.555555555555557,0.0,0.0,-1.0,0.0,0.0,0.0,,C,,3
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,3,Same as the National average,Same as the National average,Below the National average,Above the National average,Below the National average,Above the National average,Below the National average,79.26315789473685,15.529999999999998,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,A,,5
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,3,Below the National average,Above the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,87.75,15.183333333333332,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,C,,3
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,90.52631578947368,13.914285714285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,B,,4
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,2,Same as the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Below the National average,85.8695652173913,14.185714285714289,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,C,,3
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,5,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,100.45833333333331,14.7,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,A,,5
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,89.69565217391305,15.080000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,C,,3
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,3,Same as the National average,Same as the National average,Below the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,77.8125,15.34545454545455,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,A,,5
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,80.1,14.891666666666666,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,C,,3
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,3,Same as the National average,Below the National average,Above the National average,Above the National average,Below the National average,Same as the National average,Same as the National average,92.77777777777777,14.949999999999998,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,C,,3
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,3,Same as the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,Above the National average,Not Available,83.6111111111111,13.578571428571427,0.0,-1.0,1.0,0.0,0.0,1.0,,B,,4
30001,ABRAZO MARYVALE CAMPUS,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,2,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Not Available,88.30434782608695,15.255555555555553,0.0,0.0,0.0,-1.0,0.0,0.0,,C,,3
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,88.04545454545455,13.642857142857142,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,C,,3
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,3,Same as the National average,Above the National average,Above the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,93.72,13.392857142857142,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,C,,3
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,4,Same as the National average,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Above the National average,90.33333333333331,13.9,0.0,0.0,1.0,1.0,1.0,0.0,1.0,B,,4
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,3,Same as the National average,Above the National average,Above the National average,Below the National average,Above the National average,Below the National average,Same as the National average,110.1304347826087,13.385714285714288,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,C,,3
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,3,Below the National average,Above the National average,Above the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,108.33333333333331,14.75,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,B,,4
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,2,Below the National average,Below the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,86.68181818181819,14.542857142857144,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,C,,3
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,2,Same as the National average,Above the National average,Below the National average,Below the National average,Same as the National average,Below the National average,Below the National average,97.0,13.814285714285715,0.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,B,,4
30014,JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,3,Same as the National average,Same as the National average,Above the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,92.04347826086956,13.77142857142857,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,C,,3
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,2,Not Available,Below the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Not Available,92.5909090909091,17.15,,-1.0,0.0,-1.0,0.0,0.0,,C,,3
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,4,Same as the National average,Below the National average,Above the National average,Above the National average,Above the National average,Below the National average,Same as the National average,95.11764705882355,12.778571428571427,0.0,-1.0,1.0,1.0,1.0,-1.0,0.0,C,,3
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,3,Above the National average,Below the National average,Above the National average,Same as the National average,Above the National average,Below the National average,Same as the National average,101.03846153846152,14.107692307692306,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,B,,4
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,3,Same as the National average,Above the National average,Below the National average,Below the National average,Above the National average,Same as the National average,Not Available,95.63636363636364,13.62857142857143,0.0,1.0,-1.0,-1.0,1.0,0.0,,C,,3
30033,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,85.75,14.125000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,A,,5
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,4,Above the National average,Below the National average,Above the National average,Below the National average,Above the National average,Same as the National average,Above the National average,87.53846153846153,12.485714285714286,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,C,,3
30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,3,Same as the National average,Above the National average,Above the National average,Below the National average,Same as the National average,Below the National average,Not Available,93.78787878787878,13.674999999999995,0.0,1.0,1.0,-1.0,0.0,-1.0,,C,,3
30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,3,Same as the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,Above the National average,Above the National average,81.58333333333333,13.95,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,B,,4
