,Address,City,Name,Rating,State,ZipCode
95,3325 SE Hawthorne Blvd,Portland,ZOOM+Care - Hawthorne District,4.0,OR,97214
96,1700 NE 102nd Ave,Portland,Kaiser Permanente Gateway Medical Office,2.5,OR,97220
97,10201 SE Main Street,Portland,Adventist Health Medical Group Portland Lung Clinic,4.0,OR,97216
98,3231 SE 50th,Portland,Planned Parenthood - SE Portland Center,3.0,OR,97206
99,7033 NE Sandy Blvd,Portland,AFC Urgent Care,3.0,OR,97213
100,5847 NE 122nd Ave,Portland,The Portland Clinic - Columbia,3.0,OR,97220
101,5050 NE Hoyt St,Portland,The Oregon Clinic,3.0,OR,97213
102,1111 NE 99th Ave,Portland,Providence Heart Clinic at The Oregon,5.0,OR,97220
103,819 NE 47th Avenue,Portland,Providence Cancer Center,4.0,OR,97213
104,305 SE Chkalov Dr,Vancouver,Legacy-GoHealth Urgent Care - Cascade Park,4.5,WA,98683
105,12029 NE Glenn Widing Dr,Portland,Apria Healthcare,1.5,OR,97220
106,203 SE Park Plaza Dr Suite 140,Vancouver,Kaiser Permanente Mill Plain One Medical Office,5.0,WA,98684
107,7410 Delaware Ln,Vancouver,Sea-Mar Community Health Center,2.0,WA,98664
108,5050 NE Hoyt St,Portland,Providence Medical Group-Cascade,1.5,OR,97213
109,2722 NE 33rd Ave,Portland,Northwest Surrogacy Center,1.0,OR,97212
110,11803 SE Mill Plain Blvd,Vancouver,CSL Plasma,1.0,WA,98684
111,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
112,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
113,336 W Black Butte Blvd,Redmond,The Ross Clinic,5.0,OR,97756
114,1501 NE Medical Center Dr,Bend,Bend Memorial Clinic,3.5,OR,97701
115,1253 NW Canal Blvd,Redmond,St Charles Medical Center-Redmond,5.0,OR,97756
116,1302 NE 3rd St,Bend,Mountain Medical Immediate Care,4.5,OR,97701
117,865 SW Veterans Way,Redmond,Bend Memorial Clinic,1.0,OR,97756
118,2088 NE Kim Ln,Bend,St Charles Medical Center - Bend,5.0,OR,97701
119,1501 NE Medical Ctr Dr,Bend,Bend Memorial Clinic,2.5,OR,97701
120,2084 NE Professional Ct.,Bend,Mosaic Medical,2.5,OR,97701
121,61535 S Hwy 97,Bend,Coffman Vision Clinic,5.0,OR,97702
122,464 NE Norton Ave,Bend,Center For Integrative Medicine,5.0,OR,97701
123,36860 Industrial Way,Sandy,Legacy Medical Group-Firwood,2.0,OR,97055
124,2850 SE Powell Valley Rd,Gresham,Legacy-GoHealth Urgent Care - Gresham,2.5,OR,97045
125,440 NW Division St,Gresham,Providence Medical Group,4.0,OR,97030
126,2075 NE Division St,Gresham,Rose City Urgent Care and Family Practice,1.5,OR,97030
127,1700 SE 257 Ave,Vancouver,Adventist Health Adventist Medical Center,0.0,WA,98683
128,24076 SE Stark,Gresham,Center For Men's & Women's Urology,1.0,OR,97030
129,9290 SE Sunnybrook Blvd,Clackamas,Providence Clackamas Medical Plaza,4.5,OR,97015
130,1500 Division St,Oregon City,Providence Williamette Falls Medical Center,2.5,OR,97045
131,9800 SE Sunnyside Road,Clackamas,Kaiser Permanente Mt. Scott Medical Office,2.5,OR,97015
132,4160 NE Sandy Blvd,Portland,Portland Urgent Care,4.0,OR,97212
133,902 SE 164th Ave,Vancouver,ZOOM+Care - Mill Plain,4.5,WA,98683
134,12710 SE Division St,Portland,Multnomah County Health Department,4.0,OR,97236
135,8935 SE Powell Blvd,Portland,Rosewood Family Health Center,2.5,OR,97266
136,1700 NE 102nd Ave,Portland,Kaiser Permanente Gateway Medical Office,2.5,OR,97220
137,10201 SE Main Street,Portland,Adventist Health Medical Group Portland Lung Clinic,4.0,OR,97216
138,3231 SE 50th,Portland,Planned Parenthood - SE Portland Center,3.0,OR,97206
139,7033 NE Sandy Blvd,Portland,AFC Urgent Care,3.0,OR,97213
140,5847 NE 122nd Ave,Portland,The Portland Clinic - Columbia,3.0,OR,97220
141,819 NE 47th Avenue,Portland,Providence Cancer Center,4.0,OR,97213
142,305 SE Chkalov Dr,Vancouver,Legacy-GoHealth Urgent Care - Cascade Park,4.5,WA,98683
143,12029 NE Glenn Widing Dr,Portland,Apria Healthcare,1.5,OR,97220
144,203 SE Park Plaza Dr Suite 140,Vancouver,Kaiser Permanente Mill Plain One Medical Office,5.0,WA,98684
145,7410 Delaware Ln,Vancouver,Sea-Mar Community Health Center,2.0,WA,98664
146,5050 NE Hoyt St,Portland,Providence Medical Group-Cascade,1.5,OR,97213
147,4610 NE 77th Ave,Vancouver,Passport Health,2.5,WA,98662
148,9430 NE Vancouver Mall Dr,Vancouver,Man Alive,5.0,WA,98662
149,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
150,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
151,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
152,700 S Claremont St,San Mateo,Align Clinic,5.0,CA,94402
153,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
154,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
155,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
156,SFO,San Francisco,San Francisco International Airport - SFO Clinic,3.5,CA,94128
157,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
158,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
159,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
160,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,2.5,CA,94401
161,29 Baywood Ave,San Mateo,Planned Parenthood - San Mateo Health Center,3.5,CA,94402
162,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
163,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
164,50 S San Mateo Dr,San Mateo,Mills Medical Arts,5.0,CA,94401
165,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
166,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
167,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
168,SFO International Terminal,San Francisco,St Mary's Medical Center,4.5,CA,94128
169,477 9th Ave,San Mateo,San Mateo WIC Office,5.0,CA,94402
170,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
171,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
172,100 S San Mateo Dr,San Mateo,Outpatient Surgery Center - Mills Peninsula Health Services,4.5,CA,94401
173,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
174,50 S San Mateo Dr,San Mateo,Mid Peninsula Endoscopy Center,4.5,CA,94401
175,100 S San Mateo Dr,San Mateo,Mills-Peninsula Extended Care,1.5,CA,94401
176,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
177,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
178,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
179,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
180,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
181,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
182,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
183,700 S Claremont St,San Mateo,Align Clinic,5.0,CA,94402
184,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
185,100 S San Mateo Dr,San Mateo,Mills-Peninsula Health Services,4.5,CA,94401
186,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
187,SFO,San Francisco,San Francisco International Airport - SFO Clinic,3.5,CA,94128
188,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
189,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
190,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
191,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,2.5,CA,94401
192,29 Baywood Ave,San Mateo,Planned Parenthood - San Mateo Health Center,3.5,CA,94402
193,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
194,50 S San Mateo Dr,San Mateo,Mills Medical Arts,5.0,CA,94401
195,216 2nd Ave,San Mateo,Holistic Solutions,4.5,CA,94497
196,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
197,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
198,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
199,SFO International Terminal,San Francisco,St Mary's Medical Center,4.5,CA,94128
200,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
201,477 9th Ave,San Mateo,San Mateo WIC Office,5.0,CA,94402
202,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
203,101 S San Mateo Dr,San Mateo,Mills Square Medical,5.0,CA,94401
204,100 S San Mateo Dr,San Mateo,Outpatient Surgery Center - Mills Peninsula Health Services,4.5,CA,94401
205,50 S San Mateo Dr,San Mateo,Mid Peninsula Endoscopy Center,4.5,CA,94401
206,100 S San Mateo Dr,San Mateo,Mills-Peninsula Extended Care,1.5,CA,94401
207,1777 Borel Pl,San Mateo,Brain Balancing International,5.0,CA,94402
208,1783 El Camino Real,Burlingame,Lifeline Mills-Peninsula,0.0,CA,94010
209,100 S San Mateo Dr,San Mateo,Palo Alto Medical Foundation,3.0,CA,94401
210,654 N. El Camino Real,San Mateo,California Health Clinic,0.0,CA,94401
211,100 S San Mateo Dr,San Mateo,Dorothy E Schneider Cancer Center,4.5,CA,94401
212,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
213,350 Townsend St,San Francisco,Bay Area Home Health,0.0,CA,94107
214,1720 El Camino Real,Burlingame,Mills-Peninsula Medical Group,3.0,CA,94010
215,138 El Camino Real,Millbrae,Fetal 4D,4.5,CA,94030
216,CVS Store,Burlingame,Minute Clinic,4.0,CA,94010
217,1720 El Camino Real,Burlingame,Women Caring For Women,4.0,CA,94010
218,1501 Trousdale Dr,Burlingame,Palo Alto Medical Foundation,2.0,CA,94010
219,1720 El Camino Real,Burlingame,"Peninsula Sleep Center, Inc",4.0,CA,94010
220,1838 El Camino Real,Burlingame,Lemi Medical Center,2.0,CA,94010
221,1720 El Camino Real,Burlingame,Lee's Acupuncture Center,5.0,CA,94010
222,1501 Trousdale Dr,Burlingame,Mills-Peninsula Medical Center,5.0,CA,94010
223,1828 El Camino Real,Burlingame,Peninsula Women's Health,2.5,CA,94010
224,1601 Bayshore Hwy,Burlingame,Dyslexia Correction Center,3.0,CA,94010
225,1849 Bayshore Hwy,Burlingame,Soar Surgery Center,3.0,CA,94010
226,1750 El Camino Real,Burlingame,1750 Medical Center Pharmacy,5.0,CA,94010
227,1828 El Camino Real,Burlingame,Penninsula Women's Health,1.0,CA,94010
228,1783 El Camino Real,Burlingame,Lifeline Mills-Peninsula,0.0,CA,94010
229,654 N. El Camino Real,San Mateo,California Health Clinic,0.0,CA,94401
230,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
231,350 Townsend St,San Francisco,Bay Area Home Health,0.0,CA,94107
232,2308 Taraval St,San Francisco,North East Medical Services,3.0,CA,94116
233,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
234,2568 Noriega St,San Francisco,Western & Eastern Medical Practice Center,5.0,CA,94122
235,1800 31st Ave,San Francisco,Sunset Health Services,2.0,CA,94122
236,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
237,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
238,2645 Ocean Ave,San Francisco,Westcliff Medical Laboratories,3.0,CA,94132
239,2622 Ocean Ave,San Francisco,LabCorp,2.0,CA,94132
240,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
241,1351 24th Ave,San Francisco,Ocean Park Health Center,2.5,CA,94122
242,505 Parnassus Ave,San Francisco,UCSF Birthing Center,4.0,CA,94143
243,3700 California St,San Francisco,California Pacific Medical Center,4.0,CA,94118
244,2395 Lombard St,San Francisco,Golden Gate Urgent Care,4.0,CA,94123
245,1850 Sullivan Ave,Daly City,Seton Medical Office Center,2.5,CA,94015
246,450 Stanyan St,San Francisco,St. Mary's Medical Center,3.0,CA,94117
247,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
248,1930 Market St,San Francisco,UCSF Alliance Health Project,4.0,CA,94102
249,400 Parnassus Ave,San Francisco,UCSF Hematology - Adult Blood And Marrow Transplant Practice,5.0,CA,94143
250,400 Parnassus Ave,San Francisco,UCSF Internal Medicine Clinic,2.5,CA,94122
251,Davies Campus,San Francisco,CPMC Occupational and Hand Therapy,4.0,CA,94114
252,1 Shrader St,San Francisco,Mercy Doctors Medical Group,3.0,CA,94117
253,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
254,400 Parnassus Ave,San Francisco,UCSF Epilepsy Center,3.5,CA,94143
255,3468 California St,San Francisco,San Francisco Endoscopy Center,4.5,CA,94118
256,3000 California St,San Francisco,Pacific Heights Surgery Center,4.0,CA,94115
257,450 Stanyan St,San Francisco,PROS Center,4.5,CA,94117
258,350 Parnassus Ave,San Francisco,Unilab Quest Diagnostics,4.0,CA,94117
259,2233 Post St,San Francisco,LabCorp,3.0,CA,94115
260,2356 Sutter St,San Francisco,UCSF Center For Reproductive Health,3.5,CA,94115
261,3698 California St,San Francisco,Breast Health Center at CPMC,4.0,CA,94118
262,3838 California St,San Francisco,San Francisco Surgical Medical Group,3.5,CA,94118
263,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
264,2001 Union St,San Francisco,San Francisco Sleep Diagnostics,4.0,CA,94123
265,2241 Geary Blvd,San Francisco,Kaiser Permanente Health Education and Nutrition Clinic,3.5,CA,94115
266,1301 Pierce Street,San Francisco,Maxine Hall Health Center,2.5,CA,94115
267,4141 Geary Boulevard,San Francisco,Kaiser Permanente Chronic Pain Clinic,3.0,CA,94118
268,2340 Clay St,San Francisco,Pacific Heights Medical Group,2.5,CA,94115
269,2330 Post St,San Francisco,Headache Center at the UCSF Medical Center,2.5,CA,94115
270,2235 Hayes St,San Francisco,St. Mary Phillipa Health Center,1.0,CA,94117
271,2121 Pine St,San Francisco,Victorian Healthcare Center,5.0,CA,94115
272,2425 Geary Blvd,San Francisco,Kaiser Permanente Nuclear Medicine,4.0,CA,94115
273,2330 Post St,San Francisco,Laboratory Medicine Mt. Zion,3.0,CA,94115
274,45 Castro St,San Francisco,Plastic Surgery Institute of San Francisco,2.5,CA,94114
275,Cherry St & Sacramento St,San Francisco,California Pacific Medical Center Amphitheatre,3.0,CA,94118
276,2255 Post St,San Francisco,UCSF Medical Center at Mount Zion,4.0,CA,94115
277,1201 Fillmore St,San Francisco,Kaiser Permanente Services,4.0,CA,94115
278,2330 Buchanan St,San Francisco,California Pacific Medical Center,5.0,CA,94123
279,2340 Clay St,San Francisco,California Pacific Medical Center,1.5,CA,94115
280,901 Campus Dr,Daly City,Campus Surgery Center,4.5,CA,94015
281,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
282,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
283,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
284,455 Hickey Blvd,Daly City,Health Diagnostics,2.5,CA,94015
285,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
286,1600 Holloway Ave,San Francisco,San Francisco State University Student Health Clinic,4.5,CA,94199
287,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
288,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
289,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
290,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
291,1850 Sullivan Ave,Daly City,Seton Medical Office Center,2.5,CA,94015
292,306 Spruce Avenue,South San Francisco,San Mateo Medical Center,2.0,CA,94080
293,380 90th St,Daly City,WIC Women Infant & Children,2.0,CA,94015
294,1500 Southgate Ave,Daly City,St Elizabeth Ann Seton New Life Center,1.0,CA,94015
295,91 Westborough Blvd,South San Francisco,Peninsula Sleep Lab,5.0,CA,94080
296,3 S Linden Ave,South San Francisco,Pacific Occupational Health Clinic,2.0,CA,94080
297,455 Hickey Blvd,Daly City,SpineCare Medical Group,5.0,CA,94015
298,Seton Medical Ctr,Daly City,Clinic Lab and Pathology Dept,5.0,CA,94015
299,1200 El Camino Real,South San Francisco,Kaiser Permanente,1.5,CA,94080
300,4877 Mission St,San Francisco,Clinic By the Bay,5.0,CA,94112
301,4598 Mission St,San Francisco,Dignity Health-GoHealth Urgent Care - Excelsior,5.0,CA,94112
302,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
303,901 Campus Dr,Daly City,Campus Surgery Center,4.5,CA,94015
304,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
305,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
306,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
307,455 Hickey Blvd,Daly City,Health Diagnostics,2.5,CA,94015
308,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
309,1850 Sullivan Ave,Daly City,Seton Medical Office Center,2.5,CA,94015
310,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
311,1500 Southgate Ave,Daly City,St Elizabeth Ann Seton New Life Center,1.0,CA,94015
312,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
313,380 90th St,Daly City,WIC Women Infant & Children,2.0,CA,94015
314,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
315,91 Westborough Blvd,South San Francisco,Peninsula Sleep Lab,5.0,CA,94080
316,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
317,455 Hickey Blvd,Daly City,SpineCare Medical Group,5.0,CA,94015
318,Seton Medical Ctr,Daly City,Clinic Lab and Pathology Dept,5.0,CA,94015
319,1200 El Camino Real,South San Francisco,Kaiser Permanente,1.5,CA,94080
320,490 Post St,San Francisco,Helix Mobile Wellness And Research,5.0,CA,94102
321,901 Campus Dr,Daly City,Campus Surgery Center,4.5,CA,94015
322,395 Hickey Blvd,Daly City,Kaiser Permanente Daly City Medical Offices,3.0,CA,94015
323,93 Skyline Plz,Daly City,Daly City Health Services,3.0,CA,94015
324,211 Eastmoor Ave,Daly City,North East Medical Services - Eastmoor Clinic,3.0,CA,94015
325,455 Hickey Blvd,Daly City,Health Diagnostics,2.5,CA,94015
326,,South San Francisco,Kaiser Permanente Medical Office Building,4.0,CA,94080
327,1850 Sullivan Ave,Daly City,Seton Medical Office Center,2.5,CA,94015
328,2171 Junipero Serra Blvd,Daly City,NMCI Medical Clinic,3.0,CA,94014
329,1500 Southgate Ave,Daly City,St Elizabeth Ann Seton New Life Center,1.0,CA,94015
330,6181 Mission St,Daly City,Asian American Recovery Services,5.0,CA,94014
331,91 Westborough Blvd,South San Francisco,Peninsula Sleep Lab,5.0,CA,94080
332,380 90th St,Daly City,WIC Women Infant & Children,2.0,CA,94015
333,5070 Mission St,San Francisco,Alpha Pregnancy Center,5.0,CA,94112
334,156 Broad St,San Francisco,OMI Family Resource Center,5.0,CA,94112
335,455 Hickey Blvd,Daly City,SpineCare Medical Group,5.0,CA,94015
