State,Name,Address,Grade
CA,Kaiser Permanente San Diego Medical Center,"4647 Zion Avenue San Diego, CA 92120-2507",c
CA,Paradise Valley Hospital,"2400 E. 4th Street National City, CA 91950-2099",a
CA,Scripps Mercy Hospital of Chula Vista,"435 H Street Chula Vista, CA 91910",c
CA,Sharp Memorial Hospital,"7901 Frost Street San Diego, CA 92123-2701",a
CA,Tri-City Medical Center of Oceanside,"4002 Vista Way Oceanside, CA 92056-4506",b
CA,Scripps Mercy Hospital of San Diego,"4077 Fifth Avenue San Diego, CA 92103-2105",c
CA,UC San Diego Health Hillcrest - Hillcrest Medical Center,"200 West Arbor Drive San Diego, CA 92103",b
CA,Kaiser Permanente Ontario Medical Center,"2295 S Vineyard Ave Ontario, CA 91761",a
CA,Scripps Memorial Hospital of La Jolla,"9888 Genesee Avenue La Jolla, CA 92037-1200",a
CA,UC San Diego Health La Jolla - Thornton Hospital and Sulpizio Cardiovascular Center,"9300 Campus Point Drive La Jolla, CA 92037",b
CA,Corona Regional Medical Center,"800 S. Main Street Corona, CA 92882-3420",c
CA,Scripps Memorial Hospital of Encinitas,"354 Santa Fe Drive Encinitas, CA 92024-5182",c
CA,Scripps Green Hospital,"10666 N. Torrey Pines Road La Jolla, CA 92037-1093",a
CA,Montclair Hospital Medical Center,"5000 San Bernardino Street Montclair, CA 91763-2326",b
CA,Chino Valley Medical Center,"5451 Walnut Avenue Chino, CA 91710-2672",a
CA,Pomona Valley Hospital Medical Center,"1798 N. Garey Avenue Pomona, CA 91767-2918",b
CA,San Dimas Community Hospital,"1350 W. Covina Boulevard San Dimas, CA 91773-3219",c
CA,Glendora Community Hospital,"150 W. Route 66 Glendora, CA 91740-6207",b
CA,Mission Hospital Regional Medical Center,"27700 Medical Center Road Mission Viejo, CA 92691-6426",b
CA,Foothill Presbyterian Hospital,"250 S. Grand Avenue Glendora, CA 91741-4218",b
CA,Saddleback Memorial Medical Center of San Clemente,"654 Camino De Los Mares San Clemente, CA 92673-2827",c
CA,Saddleback Memorial Medical Center of Laguna Hills,"24451 Health Center Drive Laguna Hills, CA 92653-3689",b
CA,Citrus Valley Medical Center Inter-Community Campus,"210 W. San Bernardino Road Covina, CA 91723-1901",b
CA,Placentia-Linda Hospital,"1301 N. Rose Drive Placentia, CA 92870-3899",a
CA,Hoag Hospital Irvine,"16200 Sand Canyon Avenue Irvine, CA 92618",a
CA,"Kaiser Foundation Hospital, Orange County-Irvine","6640 Alton Parkway Irvine, CA 92618",a
CA,"Kaiser Foundation Hospital, Orange County - Anaheim","3440 E. LaPalma Ave Anaheim, CA 92806",a
CA,Mission Hospital Laguna Beach,"31872 Coast Hwy Laguna Beach, CA 92651",b
CA,Citrus Valley Medical Center -Queen of the Valley Campus,"1115 S. Sunset Avenue West Covina, CA 91790-3940",b
CA,Palmdale Regional Medical Center,"38600 Medical Center Drive Palmdale, CA 93551",c
CA,St. Joseph Hospital of Orange,"1100 West Stewart Drive Orange, CA 92868-5600",b
CA,Kaiser Foundation Hospital - Baldwin Park Medical Center,"1011 Baldwin Park Boulevard Baldwin Park, CA 91706-5806",a
CA,St. Jude Medical Center,"101 E. Valencia Mesa Drive Fullerton, CA 92835-3875",b
CA,University of California Irvine Medical Center,"101 The City Drive S. Orange, CA 92868-3298",a
CA,Barton Memorial Hospital,"2170 South Avenue South Lake Tahoe, CA 96150-7026",a
CA,AHMC Anaheim Regional Medical Center,"1111 W. La Palma Avenue Anaheim, CA 92801-2881",d
CA,Garden Grove Hospital and Medical Center,"12601 Garden Grove Boulevard Garden Grove, CA 92843",b
CA,Methodist Hospital of Southern California,"300 W. Huntington Drive Arcadia, CA 91007-3473",a
CA,Whittier Hospital Medical Center,"9080 Colima Road Whittier, CA 90605",c
CA,Greater El Monte Community Hospital,"1701 Santa Anita Avenue South El Monte, CA 91733-3411",d
CA,Fountain Valley Regional Hospital and Medical Center,"17100 Euclid Street Fountain Valley, CA 92708-4043",b
CA,West Anaheim Medical Center,"3033 W. Orange Avenue Anaheim, CA 92804",c
CA,Presbyterian Intercommunity Hospital,"12401 Washington Boulevard Whittier, CA 90602-1099",c
CA,Orange Coast Memorial Medical Center,"9920 Talbert Avenue Fountain Valley, CA 92708-5153",a
CA,Hoag Memorial Hospital Presbyterian,"1 Hoag Drive Newport Beach, CA 92658-6100",a
CA,San Gabriel Valley Medical Center,"438 W. Las Tunas Drive San Gabriel, CA 91776-1216",d
CA,Huntington Beach Hospital,"17772 Beach Boulevard Huntington Beach, CA 92647-6819",c
CA,La Palma Intercommunity Hospital,"7901 Walker Street La Palma, CA 90623-1722",b
CA,Garfield Medical Center,"525 N. Garfield Avenue Monterey Park, CA 91754-1205",d
CA,Huntington Hospital,"100 W. California Boulevard Pasadena, CA 91105-3097",a
CA,Alhambra Hospital Medical Center,"100 S. Raymond Avenue Alhambra, CA 91801-3199",b
CA,Monterey Park Hospital,"900 S. Atlantic Boulevard Monterey Park, CA 91754-4780",d
CA,Los Alamitos Medical Center,"3751 Katella Avenue Los Alamitos, CA 90720-3164",b
CA,USC Verdugo Hills Hospital,"1812 Verdugo Boulevard Glendale, CA 91208-1409",c
CA,Downey Regional Medical Center,"11500 Brookshire Avenue Downey, CA 90241",f
CA,"Kaiser Permanente Foundation Hospital, Downey Medical Center","9333 E. Imperial Highway Downey, CA 90242-2812",a
CA,Glendale Adventist Medical Center,"1509 Wilson Terrace Glendale, CA 91206-4098",a
CA,Keck Hospital of USC,"1500 San Pablo Street Los Angeles, CA 90033-4587",a
CA,Los Angeles County University of Southern California Medical Center,"2051 Marengo St. Los Angeles, CA 90033-1029",c
CA,White Memorial Medical Center,"1720 Cesar E. Chavez Avenue Los Angeles, CA 90033-2481",c
CA,Lakewood Regional Medical Center,"3700 E. South Street Lakewood, CA 90712-1498",b
CA,Glendale Memorial Hospital and Health Center,"1420 S. Central Avenue Glendale, CA 91204-2508",c
CA,Community Hospital of Long Beach,"1720 Termino Avenue Long Beach, CA 90804-2180",c
CA,Community Hospital of Huntington Park,"2623 E. Slauson Avenue Huntington Park, CA 90255-2900",d
CA,Sierra View Medical Center,"465 W. Putnam Avenue Porterville, CA 93257-3320",c
CA,Good Samaritan Hospital of Los Angeles,"1225 Wilshire Boulevard Los Angeles, CA 90017-2395",c
CA,St. Vincent Medical Center of Los Angeles,"2131 W. Third Street Los Angeles, CA 90057-7992",c
CA,California Hospital Medical Center,"1401 S. Grand Avenue Los Angeles, CA 90015-3010",c
CA,Hollywood Presbyterian Medical Center,"1300 N. Vermont Avenue Los Angeles, CA 90027-0069",c
CA,Long Beach Memorial Medical Center,"2801 Atlantic Avenue Long Beach, CA 90806-1737",c
CA,Kaiser Permanente Los Angeles Medical Center,"4867 Sunset Boulevard Los Angeles, CA 90027-5969",b
CA,St. Mary Medical Center of Long Beach,"1050 Linden Avenue Long Beach, CA 90813-3393",c
CA,Providence St. Joseph Medical Center of Burbank,"501 South Buena Vista Street Burbank, CA 91505-4818",d
CA,Los Angeles County - Olive View UCLA Medical Center,"14445 Olive View Drive Sylmar, CA 91342-1495",c
CA,Kaiser Permanente Panorama City Medical Center,"13652 Cantara Street Panorama City, CA 91402-5497",a
CA,Cedars-Sinai Medical Center,"8700 Beverly Boulevard Los Angeles, CA 90048-1865",c
CA,Los Angeles County - Harbor UCLA Medical Center,"1000 W. Carson Street Torrance, CA 90502-2004",b
CA,Providence Holy Cross Medical Center,"15031 Rinaldi Street Mission Hills, CA 91346-9600",b
CA,Kaiser Foundation Hospital - West Los Angeles,"6041 Cadillac Avenue Los Angeles, CA 90034-1702",a
CA,Centinela Hospital Medical Center,"555 E. Hardy Street Inglewood, CA 90301-4011",a
CA,Kaiser Foundation Hospital South Bay,"25825 Vermont Avenue Harbor City, CA 90710-3599",b
CA,Sherman Oaks Hospital,"4929 Van Nuys Boulevard Sherman Oaks, CA 91403-1702",b
CA,Kaweah Delta Medical Center,"400 W. Mineral King Avenue Visalia, CA 93291-6263",a
CA,Valley Presbyterian Hospital,"15107 Vanowen Street Van Nuys, CA 91405-4598",d
CA,Providence Little Company of Mary Medical Center San Pedro,"1300 W. Seventh Street San Pedro, CA 90732-3505",b
CA,Henry Mayo Newhall Memorial Hospital,"23845 McBean Parkway Valencia, CA 91355-2083",c
CA,Torrance Memorial Medical Center,"3330 Lomita Boulevard Torrance, CA 90505-5002",a
CA,Providence Little Company of Mary Medical Center Torrance,"4101 Torrance Boulevard Torrance, CA 90503-4698",a
CA,University of California Ronald Reagan UCLA Medical Center,"757 Westwood Plaza Los Angeles, CA 90095-8358",b
CA,Encino Hospital Medical Center,"16237 Ventura Boulevard Encino, CA 91436-2201",a
CA,Kern Medical Center,"1700 Mount Vernon Avenue Bakersfield, CA 93306-4018",d
CA,Northridge Hospital Medical Center-Roscoe Boulevard Campus,"18300 Roscoe Boulevard Northridge, CA 91328-4167",c
CA,Saint John's Health Center,"2121 Santa Monica Boulevard Santa Monica, CA 90404",c
CA,Providence Tarzana Medical Center,"18321 Clark Street Tarzana, CA 91356-3521",c
CA,Tulare Regional Medical Center,"869 Cherry Street Tulare, CA 93274-2207",f
CA,UCLA Medical Center of Santa Monica,"1250 16th Street Santa Monica, CA 90404",a
CA,Bakersfield Memorial Hospital,"420 34th Street Bakersfield, CA 93301-2237",d
CA,Adventist Health - San Joaquin Community Hospital,"2615 Chester Avenue Bakersfield, CA 93301-2006",c
CA,Mercy Hospital - Downtown,"2215 Truxtun Avenue Bakersfield, CA 93301",c
CA,Bakersfield Heart Hospital,"3001 Sillect Avenue Bakersfield, CA 93308-6337",c
CA,Kaiser Permanente Woodland Hills Medical Center,"5601 De Soto Avenue Woodland Hills, CA 91365-6701",a
CA,Clovis Community Medical Center,"2755 Herndon Avenue Clovis, CA 93611-6800",a
CA,West Hills Hospital and Medical Center,"7300 Medical Center Drive West Hills, CA 91307-1901",c
CA,Adventist Medical Center Selma,"1141 Rose Avenue Selma, CA 93662",b
CA,Mercy Hospital - Southwest,"400 Old River Road Bakersfield, CA 93311",c
CA,Simi Valley Hospital and Health Care Services,"2975 N. Sycamore Drive Simi Valley, CA 93065-1201",c
CA,Saint Agnes Medical Center,"1303 E. Herndon Avenue Fresno, CA 93720-3309",c
CA,Kaiser Foundation Hospital - Fresno,"7300 N. Fresno Ave. Fresno, CA 93720-2941",a
CA,Community Regional Medical Center,"2823 Fresno Street Fresno, CA 93721-1324",c
CA,Sonora Regional Medical Center,"1000 Greenley Road Sonora, CA 95370-4819",c
CA,Adventist Medical Center Hanford,"115 Mall Drive Hanford, CA 93230-3513",b
CA,Marshall Medical Center,"1100 Marshall Way Placerville, CA 95667-6599",b
CA,Los Robles Hospital and Medical Center,"215 West Janss Road Thousand Oaks, CA 91360-1847",a
CA,Sierra Nevada Memorial Hospital,"155 Glasson Way Grass Valley, CA 95945-5723",c
CA,Madera Community Hospital,"1250 E. Almond Avenue Madera, CA 93637-5696",b
CA,St. John's Pleasant Valley Hospital,"2309 Antonio Avenue Camarillo, CA 93010-1414",a
CA,Sutter Amador Hospital,"200 Mission Boulevard Jackson, CA 95642-2132",c
CA,Sutter Auburn Faith Hospital,"11815 Education Street Auburn, CA 95602-2410",c
CA,Adventist Health - Feather River Hospital,"5974 Pentz Road Paradise, CA 95969-5509",c
CA,St. John's Regional Medical Center of Oxnard,"1600 N. Rose Avenue Oxnard, CA 93030-3723",b
CA,Mercy Medical Center,"333 Mercy Avenue Merced, CA 95340-8319",b
CA,Oroville Hospital,"2767 Olive Highway Oroville, CA 95966-6118",c
CA,Ventura County Medical Center,"3291 Loma Vista Road Ventura, CA 93003-3099",d
CA,Mercy Hospital of Folsom,"1650 Creekside Drive Folsom, CA 95630-3405",b
CA,Community Memorial Hospital of San Buenaventura,"147 N. Brent Street Ventura, CA 93003-2854",c
CA,Sutter Roseville Medical Center,"1 Medical Plaza Roseville, CA 95661-3037",b
CA,Kaiser Foundation Hospital - Roseville,"1600 Eureka Road Roseville, CA 95661-3027",a
CA,Enloe Medical Center,"1531 Esplanade Chico, CA 95926-3386",a
CA,Mercy San Juan Medical Center,"6501 Coyle Avenue Carmichael, CA 95608-0306",a
CA,Rideout Memorial Hospital,"726 4th Street Marysville, CA 95901-5600",f
CA,Fremont Medical Center,"970 Plumas Street Yuba City, CA 95991",f
CA,Emanuel Medical Center,"825 Delbon Avenue Turlock, CA 95382-2016",b
CA,Shasta Regional Medical Center,"1100 Butte Street Redding, CA 96001-0853",c
CA,Mercy Medical Center of Redding,"2175 Rosaline Avenue Redding, CA 96001",a
CA,Kaiser Foundation Hospital - Sacramento,"2025 Morse Avenue Sacramento, CA 95825-2115",b
CA,Patient's Hospital of Redding,"2900 Eureka Way Redding, CA 96001",a
CA,Memorial Medical Center of Modesto,"1700 Coffee Road Modesto, CA 95355-2869",c
CA,St. Elizabeth Community Hospital,"2550 Sister Mary Columba Drive Red Bluff, CA 96080-4397",a
CA,Doctors Medical Center of Modesto,"1441 Florida Avenue Modesto, CA 95350-4418",a
CA,Mercy General Hospital,"4001 J Street Sacramento, CA 95819-3600",a
CA,Kaiser Foundation Hospital - Modesto,"4601 Dale Road Modesto, CA 95356-9718",c
CA,University of California Davis Medical Center,"2315 Stockton Boulevard Sacramento, CA 95817-2282",b
CA,Methodist Hospital of Sacramento,"7500 Hospital Drive Sacramento, CA 95823-5477",a
CA,Sutter Medical Center Sacramento,"2825 Capitol Ave Sacramento, CA 95816-5616",b
CA,Kaiser Foundation Hospital - South Sacramento,"6600 Bruceville Road Sacramento, CA 95823-4671",b
CA,Lodi Memorial Hospital,"975 S. Fairmont Avenue Lodi, CA 95240-5179",c
CA,Santa Barbara Cottage Hospital,"400 W. Pueblo Street Santa Barbara, CA 93105-4311",b
CA,Memorial Hospital Los Banos,"520 I Street Los Banos, CA 93635-4211",a
CA,Doctors Hospital of Manteca,"1205 E. North Street Manteca, CA 95336-4900",a
CA,St. Joseph's Medical Center of Stockton,"1800 N. California Street Stockton, CA 95204",c
CA,San Joaquin General Hospital,"500 W. Hospital Road French Camp, CA 95231",d
CA,Kaiser Foundation Hospital - Manteca,"1777 W. Yosemite Avenue Manteca, CA 95337-5187",b
CA,Woodland Memorial Hospital,"1325 Cottonwood Street Woodland, CA 95695-5199",a
CA,Sutter Davis Hospital,"2000 Sutter Place Davis, CA 95616-6201",a
CA,Sutter Tracy Community Hospital,"1420 N. Tracy Boulevard Tracy, CA 95376-3497",b
CA,Kaiser Foundation Hospital - Vacaville,"1 Quality Drive Vacaville, CA 95688-9494",a
CA,Marian Medical Center,"1400 E. Church Street Santa Maria, CA 93454-5906",a
CA,NorthBay VacaValley Hospital,"1000 Nut Tree Road Vacaville, CA 95687",b
CA,Kaiser Foundation Hospital - Antioch,"4501 Sand Creek Road Antioch, CA 94531-8679",c
CA,Sutter Delta Medical Center,"3901 Lone Tree Way Antioch, CA 94509-6253",c
CA,Twin Cities Community Hospital,"1100 Las Tablas Road Templeton, CA 93465-9704",a
CA,French Hospital Medical Center,"1911 Johnson Avenue San Luis Obispo, CA 93401-4131",a
CA,Arroyo Grande Community Hospital,"345 S. Halcyon Road Arroyo Grande, CA 93420-3899",b
CA,Sierra Vista Regional Medical Center,"1010 Murray Avenue San Luis Obispo, CA 93405-8800",a
CA,NorthBay Medical Center,"1200 B. Gale Wilson Boulevard Fairfield, CA 94533-3552",c
CA,Lompoc Valley Medical Center,"1515 E. Ocean Avenue Lompoc, CA 93436",c
CA,Hazel Hawkins Memorial Hospital,"911 Sunset Drive Hollister, CA 95023-5695",b
CA,ValleyCare Health System,"5555 W. Las Positas Boulevard Pleasanton, CA 94588-4000",c
CA,St. Louise Regional Hospital,"9400 No Name Uno Gilroy, CA 95020-3528",c
CA,John Muir Medical Center Concord Campus,"2540 East Street Concord, CA 94520",c
CA,San Ramon Regional Medical Center,"6001 Norris Canyon Road San Ramon, CA 94583-5400",b
CA,John Muir Medical Center Walnut Creek Campus,"1601 Ygnacio Valley Road Walnut Creek, CA 94598-3194",c
CA,Kaiser Foundation Hospital - Walnut Creek,"1425 S. Main Street Walnut Creek, CA 94596-5318",c
CA,Contra Costa Regional Medical Center,"2500 Alhambra Avenue Martinez, CA 94553-3156",c
CA,Sutter Coast Hospital,"800 East Washington Blvd. Crescent City, CA 95531-8359",c
CA,Queen of the Valley Medical Center,"1000 Trancas Street Napa, CA 94558-2906",b
CA,Regional Medical Center of San Jose,"225 N. Jackson Avenue San Jose, CA 95116-1691",c
CA,Kaiser Foundation Hospital - San Jose,"250 Hospital Parkway San Jose, CA 95119-1103",c
CA,Sutter Solano Medical Center,"300 Hospital Drive Vallejo, CA 94589-2517",b
CA,Kaiser Foundation Hospital - Vallejo,"975 Sereno Drive Vallejo, CA 94589-2441",a
CA,Kaiser Foundation Hospital - Fremont,"39400 Paseo Padre Parkway Fremont, CA 94538-2310",a
CA,St. Helena Hospital Napa Valley,"10 Woodland Road St. Helena, CA 94574",d
CA,Eden Medical Center,"20103 Lake Chabot Road Castro Valley, CA 94546-5341",c
CA,Natividad Medical Center,"1441 Constitution Boulevard Salinas, CA 93906-3100",a
CA,O'Connor Hospital,"2105 Forest Avenue San Jose, CA 95128-1471",c
CA,Santa Clara Valley Medical Center,"751 S. Bascom Avenue San Jose, CA 95128-2604",d
CA,St. Rose Hospital,"27200 Calaroga Avenue Hayward, CA 94545-4383",d
CA,San Leandro Hospital,"13855 E. 14th Street San Leandro, CA 94578",d
CA,Salinas Valley Memorial Healthcare System,"450 E. Romie Lane Salinas, CA 93901-4098",a
CA,Watsonville Community Hospital,"75 Nielson Street Watsonville, CA 95076-2468",c
CA,Good Samaritan Hospital of San Jose,"2425 Samaritan Drive San Jose, CA 95124-3997",b
CA,Kaiser Permanente San Leandro Medical Center,"2500 Merced Street San Leandro, CA 94577-4201",a
CA,Kaiser Foundation Hospital - Santa Clara,"700 Lawrence Expressway Santa Clara, CA 95051-5173",b
CA,Sonoma Valley Hospital,"347 Andrieux Street Sonoma, CA 95476-6811",c
CA,El Camino Hospital Los Gatos,"815 Pollard Road Los Gatos, CA 95032",a
CA,Alta Bates Summit Medical Center Alta Bates Campus,"2450 Ashby Avenue Berkeley, CA 94705-2067",c
CA,Alameda County Medical Center Highland Hospital,"1411 E. 31st Street Oakland, CA 94602",d
CA,Kaiser Foundation Hospital - Oakland,"3600 Broadway Oakland, CA 94611-5693",b
CA,Alta Bates Summit Medical Center Summit Campus,"350 Hawthorne Avenue Oakland, CA 94609-3100",c
CA,Alameda Hospital,"2070 Clinton Avenue Alameda, CA 94501-4397",d
CA,El Camino Hospital,"2500 Grant Road Mountain View, CA 94040",a
CA,Kaiser Foundation Hospital - Richmond,"901 Nevin Avenue Richmond, CA 94801-3143",b
CA,Stanford Health Care,"300 Pasteur Drive Stanford, CA 94305",b
CA,Dominican Hospital,"1555 Soquel Drive Santa Cruz, CA 95065-1794",a
CA,Kaiser Foundation Hospital - Redwood City,"1100 Veterans Boulevard Redwood City, CA 94063-2037",b
CA,Santa Rosa Memorial Hospital,"1165 Montgomery Drive Santa Rosa, CA 95405-4897",c
CA,Kaiser Foundation Hospital - Santa Rosa,"401 Bicentennial Way Santa Rosa, CA 95403-2149",a
CA,Sutter Santa Rosa Regional Hospital,"30 Mark West Springs Rd Santa Rosa, CA 95403",a
CA,Petaluma Valley Hospital,"400 N. McDowell Boulevard Petaluma, CA 94954-2369",a
CA,Sequoia Hospital,"170 Alameda De Las Pulgas Redwood City, CA 94062-2799",a
CA,Chinese Hospital,"845 Jackson Street San Francisco, CA 94133-4899",a
CA,Novato Community Hospital,"180 Rowland Way Novato, CA 94945-5009",a
CA,Saint Francis Memorial Hospital,"900 Hyde Street San Francisco, CA 94109-4899",a
CA,San Francisco General Hospital Medical Center,"1001 Potrero Avenue San Francisco, CA 94110-3594",d
CA,Mad River Community Hospital,"3800 Janes Road Arcata, CA 95521-4788",c
CA,San Mateo Medical Center,"222 W. 39th Avenue San Mateo, CA 94403-4398",c
CA,California Pacific Medical Center - Pacific Campus,"2333 Buchanan Street San Francisco, CA 94115-1925",b
CA,St. Luke's Hospital of San Francisco,"3555 Cesar Chavez Street San Francisco, CA 94110-4490",c
CA,California Pacific Medical Center - Davies Campus,"Castro Street and Duboce Street San Francisco, CA 94114",c
CA,Kaiser Foundation Hospital - San Francisco,"2425 Geary Boulevard San Francisco, CA 94115-3358",a
CA,Kaiser Foundation Hospital - San Rafael,"99 Montecillo Road San Rafael, CA 94903-3308",a
CA,Marin General Hospital,"250 Bon Air Road Greenbrae, CA 94904-1784",a
CA,California Pacific Medical Center - California Campus,"3700 California Street San Francisco, CA 94118",a
CA,St. Mary's Medical Center,"450 Stanyan Street San Francisco, CA 94117-1079",a
CA,UCSF Medical Center / Moffitt-Long Hospitals,"505 Parnassus Avenue San Francisco, CA 94143-0296",a
CA,Mills-Peninsula Health Services,"1501 Trousdale Drive Burlingame, CA 94010-3282",a
CA,Community Hospital of the Monterey Peninsula,"23625 Holman Highway Monterey, CA 93940",b
CA,Ukiah Valley Medical Center,"275 Hospital Drive Ukiah, CA 95482-4531",a
CA,Kaiser Foundation Hospital - South San Francisco,"1200 El Camino Real South San Francisco, CA 94080-3299",a
CA,Seton Medical Center,"1900 Sullivan Avenue Daly City, CA 94015-2229",c
CA,St. Joseph Hospital of Eureka,"2700 Dolbeer Street Eureka, CA 95501-4799",d
CA,Seton Medical Center Coastside,"600 Marine Boulevard Moss Beach, CA 94038",c
